.geo,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,hls_date,hls_image_count,hls_valid,hls_valid_image_count,landslide_target,record_id,system:index
"{""type"":""Point"",""coordinates"":[92.5237873349973,24.787041358145434]}",0.1744633652822151,0.0900839900603478,0.0263353466200111,0.0645554338455297,0.050035666108829,0.0888224250722653,0.2192396977534357,0.2671580962523454,0.2514585729499468,0.2893525381611643,0.4755637612134221,0.1837431107035637,0.6648588536281907,-0.5868072380977661,2024-06-11,370,1,18,1,LS-0221,000000000000000000dc
"{""type"":""Point"",""coordinates"":[91.84622247082514,26.11152814405046]}",0.2611991236068895,0.1626408713272543,0.098142228976697,0.1365049189463019,0.1322440425531915,0.1577231408308003,0.2935629888551164,0.3527588196555217,0.3154329736575481,0.379441833839919,0.3527878696530629,0.1093002190417566,0.4863583722992109,-0.4616243537777938,2024-06-24,362,1,5,1,LS-0268,0000000000000000010b
"{""type"":""Point"",""coordinates"":[91.82924221401362,26.179507139610244]}",0.3569384708922329,0.2731347722551552,0.4606922176622585,0.4715610072452754,0.4567126057658206,0.4395975274864469,0.4932834321325428,0.5364872321021431,0.4978190657141411,0.539895637634899,0.2914948036988601,0.1648467080382462,0.0433894661047751,-0.027396502796113,2024-07-09,367,1,12,1,LS-0280,00000000000000000117
"{""type"":""Point"",""coordinates"":[94.271331333348,24.67506887159236]}",0.1061651431466937,0.0581445502913605,0.0184286749429946,0.0426621281986318,0.0341787990879148,0.0564259082847732,0.1460286445401571,0.177119721307322,0.1702105649860653,0.1891506004560425,0.4979738623406404,0.2435429137934,0.6811808756948611,-0.6042537459170381,2024-05-22,351,1,8,1,LS-0132,00000000000000000083
"{""type"":""Point"",""coordinates"":[93.97409211622636,25.267629892382676]}",0.2000324279126336,0.0968152739066538,0.0315820453048193,0.0646583489585973,0.0454933917802665,0.0981661480768256,0.2793537171236001,0.3328707900471293,0.3316609841382456,0.3614920032432981,0.547273748220374,0.2466108208824246,0.7576817773335252,-0.6720710678429132,2024-05-22,370,1,22,1,LS-0135,00000000000000000086
"{""type"":""Point"",""coordinates"":[93.49900611268907,24.981311013740914]}",0.1533577129817444,0.0961953701825558,0.0222419929006085,0.0490082352941176,0.0439915567951318,0.0732066277890466,0.1772172971602433,0.2232831997971603,0.2160202586206897,0.2370421196754564,0.3835325889845331,0.1688567483133927,0.6652284546989263,-0.632510104942783,2024-07-26,385,1,8,1,LS-0295,00000000000000000126
"{""type"":""Point"",""coordinates"":[93.46315939932042,24.751208022079947]}",0.2179208569979716,0.1258875152129817,0.0234549036511156,0.0630153600405679,0.0538629665314401,0.1086071906693711,0.3020945334685599,0.391331201825558,0.383809523326572,0.4167747312373224,0.5059476346176851,0.2755040276699759,0.7543494028639618,-0.7186590159753402,2024-07-26,385,1,8,1,LS-0298,00000000000000000129
"{""type"":""Point"",""coordinates"":[93.83400945663236,24.53454922009512]}",0.2742504689480355,0.1946469049429658,0.1130392040557668,0.1481709759188847,0.1461889531051965,0.1768583523447401,0.3217417794676807,0.3892573637515843,0.3776724664131814,0.4045720506970852,0.3197387930574294,0.1580862135926988,0.4450518834392892,-0.4414972163674721,2024-07-26,369,1,7,1,LS-0299,0000000000000000012a
"{""type"":""Point"",""coordinates"":[93.81729228678299,24.52563101798823]}",0.5222965368623875,0.4443785113071697,0.5714832724875774,0.5822830544569517,0.565073521955177,0.5657762042389208,0.6049879576107902,0.6307743078795255,0.6080947013487475,0.632782811073928,0.1555122708229468,0.0758648832465578,0.0367511603833343,-0.0217721648434226,2024-07-26,369,1,7,1,LS-0300,0000000000000000012b
"{""type"":""Point"",""coordinates"":[93.8147728946878,24.52259882927188]}",0.4512391249239507,0.3874624416953965,0.443870791928615,0.4587103325897382,0.4482766223889679,0.4521184901642668,0.5036944078280269,0.5363075998783209,0.5105207462989253,0.5420804096532144,0.1371987106098114,0.0615365805836459,0.0658351315129509,-0.0543383395320282,2024-07-26,369,1,7,1,LS-0301,0000000000000000012c
