B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDMI,NDWI,NBR,hls_image_count,hls_valid_image_count,landslide_target,record_id
0.5790925494171314,0.6013169842878865,0.6031254992397367,0.5922708869741513,0.6450819918905221,0.6770006791687785,0.6464362493664473,0.6981356614292955,0.5220137810440952,0.38417401926001,0.0346607521997382,0.1064850571989248,-0.0361604072516955,0.2544727508449595,362,6,0,BG-0076
0.009167156763334,0.0459139728249847,0.0342015970391401,0.0690670452240924,0.146689652200365,0.1782411072804706,0.1605986564591361,0.1851285844656257,0.0859916751166092,0.0374187943621983,0.6488546967990184,0.3025543656386617,-0.5553398067309853,0.6220656895945977,374,12,0,BG-0077
0.027724013973976,0.0597820869829375,0.035801235380487,0.0882468988911954,0.2740335172902639,0.3554443369955953,0.3349792364943548,0.3898031694597743,0.1911903852969469,0.0826077970735659,0.8068871577866059,0.2732747107442092,-0.6971228769001917,0.604356503276677,349,16,0,BG-0078
0.2587717559961462,0.2949448658790122,0.3031522691547082,0.3362656508290656,0.4275277825668071,0.4586357030576543,0.4543163328431622,0.4813864864864867,0.4853067745043353,0.3703384818214087,0.199564791583109,-0.0329817789907884,-0.2127048180740569,0.1018339425519652,367,24,0,BG-0081
0.3344673983410885,0.3285395609953469,0.305017924337447,0.3178976937082743,0.3929317216265426,0.4260057707869715,0.4510216973497875,0.4423484877604691,0.3453726633623306,0.2678409619664171,0.1931165627093821,0.1326591939864917,-0.1571167564361108,0.2548202121913179,354,21,0,BG-0082
0.0304811796328228,0.059749315346384,0.0452950654224566,0.0907861294248909,0.2181340906785679,0.2647238918754438,0.2578914139365048,0.2938313977076784,0.2048318744294554,0.1077733644385839,0.7012065609375081,0.1146679686134263,-0.6237931106550781,0.4105346163363152,358,10,0,BG-0083
0.8658798287827367,0.8627776201813484,0.8317794032723774,0.8275992502912721,0.8366875842155918,0.8519695506813232,0.8186788815156275,0.8531580973608227,0.3281379413403576,0.2884203839724431,-0.0079375055264923,0.4277413187518884,0.0262265117302857,0.4789620172942821,363,7,0,BG-0085
0.0413370162107396,0.0677724113475177,0.0586727710233029,0.0971137689969604,0.2398514944275582,0.2855139209726443,0.2813302532928064,0.3074114387031407,0.2033193971631204,0.125148865248227,0.654869122759606,0.1609634012039385,-0.6117336347613231,0.3842297941531606,374,18,0,BG-0087
0.0301699934107151,0.0755894571443053,0.0765897207156976,0.1091593137006437,0.2424509503776167,0.2954702367073848,0.2706990977748492,0.3124021136398194,0.1696880024329667,0.1395488316691165,0.5589278051128361,0.2293688786393061,-0.5634308089566943,0.3196853821626563,375,13,0,BG-0089
0.3547511249619945,0.3712415425154557,0.3613037600081079,0.3571591162460726,0.426649685821425,0.4762828924698488,0.4295352842809364,0.4877021992500254,0.3941807895003547,0.2835205330900984,0.086277384463444,0.0429207294915175,-0.0727964893773114,0.2047732416365099,8,8,0,BG-0090
0.3273540410438305,0.3396814998733214,0.3147650519381809,0.3297581808968838,0.4401454725107676,0.481967139599696,0.4592367316949577,0.4956428781352926,0.3090856245249557,0.2022894907524702,0.1866554868628746,0.1954272265468544,-0.1496463932071608,0.388415806091356,364,5,0,BG-0094
0.0464191410607443,0.0836122908427137,0.0750216712300983,0.0976894736842105,0.2077183754183144,0.2689169151201704,0.2400094868674576,0.2903386522665044,0.1793587972822228,0.1057082293885001,0.5237190398362672,0.1446239305106522,-0.4832715435016546,0.3884708568985378,350,11,0,BG-0095
0.6976010240811151,0.7171190316856781,0.7131634980988596,0.7316656375158429,0.75013065652725,0.7645175969581747,0.736989505703422,0.7664432648922687,0.4182419974651457,0.2847292116603295,0.0164299956915518,0.2759165650902143,-0.0136650556040486,0.4426465781208538,370,16,0,BG-0098
0.0535948510034462,0.0973283650922359,0.0821285475369957,0.1271588992499493,0.256924102979931,0.3135571153456315,0.2899085546320696,0.3449442225826068,0.2882565122643421,0.1544347455909183,0.5584927037751521,0.0028573887671831,-0.4973187723860154,0.3048854544969294,9,9,0,BG-0099
0.530505382593753,0.5323508389770543,0.5180104619427879,0.52982031234206,0.5675239057919742,0.5793688365510966,0.5811359951480842,0.585595896088143,0.4232692762559386,0.3141837561912462,0.0574314121635543,0.1571743233400888,-0.0438129618383501,0.2981641347211403,375,23,0,BG-0101
0.9010457894203486,0.9218160974868258,0.914293362383462,0.9306064146736928,0.9324705107417914,0.9371517278070532,0.9281652006485612,0.9344071291041752,0.5092504914876368,0.3623837859748682,0.0075289824929744,0.2914360205281739,-0.0034319823492997,0.4384036720326237,358,12,0,BG-0102
0.0370451161375392,0.0671277462217263,0.0423049193630185,0.0936394309767725,0.2914908814281367,0.3731074703316764,0.3624238462318694,0.4074938786895221,0.2247450248503905,0.1004653970990972,0.7909468119922884,0.234479087979769,-0.6874519969147682,0.5659203641193092,367,11,0,BG-0103
0.1214780833713214,0.1537700552094413,0.1659070860558173,0.1949635617687281,0.2964570632629286,0.3478181735298588,0.2973482246872309,0.3685022944841209,0.2701233753735501,0.2096624829053335,0.2837336897888678,0.0479757036488958,-0.31827167258812,0.1729465284831063,375,21,0,BG-0108
0.0155300886749429,0.0397785761337725,0.0205006384595895,0.0670803699011907,0.2182184342538636,0.263724023308842,0.2654584849252595,0.2886457866734229,0.1345482290347098,0.054659847985812,0.856618399043003,0.3272701465297167,-0.739359460507455,0.6585022326665905,359,11,0,BG-0110
0.9498186927707796,0.941287661253604,0.8942906207315217,0.9079840390549908,0.9021268882480908,0.8890856832093893,0.909704846461274,0.8661835432792023,0.1057862447513532,0.1238456063135529,0.0085444924946171,0.7916550018670655,0.0170626378338615,0.7603491808628051,364,8,0,BG-0111
0.2066379974651458,0.2380433257287706,0.2198804562737642,0.2514991634980988,0.388980299112801,0.4378596197718631,0.4323390468948037,0.4617446539923955,0.3368056831432194,0.2271594879594423,0.3257470676495992,0.1242072655777821,-0.2898282071553392,0.3111145030530015,365,9,0,BG-0112
0.4229325951451881,0.4569957279683777,0.447576759742563,0.4821070744438248,0.551544554806669,0.5823969137992197,0.5501054021182792,0.58662324532509,0.387473739421274,0.2689338063142958,0.1027668392752289,0.1734591305326562,-0.0924531522885787,0.3432944270666499,398,9,0,BG-0113
0.0288618502960676,0.0552282453565463,0.0590204463788653,0.0794961840174098,0.1712478414899539,0.2139000455488637,0.2143981679234778,0.2309905663242065,0.1558425881876612,0.1119844982033503,0.5682777741415865,0.1581554131178343,-0.5903350514907578,0.313784034352887,392,15,0,BG-0116
